학원명,도로명주소,분야명,정원합계,Latitude,Longitude
예지인미술교습소,서울특별시 강남구 압구정로 108,예능(대),27,37.5229191,127.0205789
예손피아노교습소,서울특별시 강남구 영동대로 210,예능(대),7,37.4980827,127.0712194
맑은소리피아노교습소,서울특별시 강남구 강남대로66길 32,예능(대),20,37.4922802,127.0334257
공감입시학원,서울특별시 강남구 삼성로 311,입시.검정 및 보습,40,37.49964180000001,127.0601672
빅스영어보습학원,서울특별시 강남구 선릉로 225,입시.검정 및 보습,16,37.4953404,127.0526522
김민정막강수학학원,서울특별시 강남구 삼성로63길 6,입시.검정 및 보습,30,37.5001238,127.0596183
미래탐구논증과추론학원,서울특별시 강남구 도곡로 436,입시.검정 및 보습,1580,37.4976943,127.0581602
청담플래뮤학원,서울특별시 강남구 도산대로94길 19,예능(대),45,37.5240819,127.0516007
엘리트교실해법영어교습소,서울특별시 강남구 일원로5길 30,입시.검정 및 보습,18,37.4915382,127.0831998
정진하다학원,서울특별시 강남구 삼성로 231,입시.검정 및 보습,12,37.49782769999999,127.0610138
드림하이본원학원,서울특별시 강남구 삼성로58길 7,입시.검정 및 보습,100,37.4986625,127.0618033
아트팔레트미술교습소,서울특별시 강남구 남부순환로363길 15,예능(대),6,37.4862718,127.0377353
개념과유형보습학원,서울특별시 강남구 광평로 63?,입시.검정 및 보습,96,37.4828777,127.0796221
러셀대치학원,서울특별시 강남구 남부순환로 2942,종합(대),63592,37.4935818,127.0623994
기타와드럼음악학원,서울특별시 강남구 개포로82길 13-17,예능(대),22,37.4888736,127.068594
위자듀학원,서울특별시 강남구 선릉로 326,입시.검정 및 보습,232,37.4987628,127.0520992
더뮤즈음악원음악교습소,서울특별시 강남구 역삼로52길 14,예능(대),2,37.4985291,127.0479489
프라임해법영어교습소,서울특별시 강남구 남부순환로365길 51,입시.검정 및 보습,36,37.4887105,127.0400223
해냄학원,서울특별시 강남구 삼성로71길 12,입시.검정 및 보습,205,37.5022678,127.0578621
도곡렉슬예랑미술학원,서울특별시 강남구 선릉로 225,예능(대),136,37.4953404,127.0526522
기한성국어교습소,서울특별시 강남구 도곡로 413,입시.검정 및 보습,7,37.4975956,127.0557613
위드매스학원,서울특별시 강남구 선릉로132길 60,입시.검정 및 보습,8,37.5187461,127.0461253
