학교종류명,학교명,도로명주소,Latitude,Longitude,2023
중학교,창일중학교,서울특별시 도봉구 노해로66길 60,37.6486619,127.0469576,22.1
중학교,창북중학교,서울특별시 도봉구 노해로62길 33,37.650169,127.0388277,22.1
중학교,창동중학교,서울특별시 도봉구 방학로 32,37.6625168,127.0496406,22.1
중학교,중평중학교,서울특별시 노원구 동일로203길 87,37.6368214,127.0624155,23.2
중학교,중원중학교,서울특별시 노원구 공릉로 420,37.6439888,127.0681116,23.2
중학교,중계중학교,서울특별시 노원구 덕릉로76길 23,37.6552759,127.0752541,23.2
중학교,정의여자중학교,서울특별시 도봉구 노해로49길 69,37.65297,127.0317983,22.1
중학교,재현중학교,서울특별시 노원구 덕릉로82길 64,37.6609889,127.0807243,23.2
중학교,을지중학교,서울특별시 노원구 덕릉로 580,37.64991190000001,127.0718499,23.2
중학교,월계중학교,서울특별시 노원구 월계로45가길 54,37.6304607,127.0520108,23.2
중학교,온곡중학교,서울특별시 노원구 노원로 492,37.6601615,127.0646977,23.2
중학교,염광중학교,서울특별시 노원구 월계로45가길 9,37.6307926,127.0504906,23.2
중학교,신창중학교,서울 노원구 월계로45길 92,37.628302,127.0479235,23.2
중학교,신상중학교,서울특별시 노원구 동일로216길 42,37.6513105,127.0636362,23.2
중학교,신방학중학교,서울특별시 도봉구 시루봉로 156,37.6638877,127.02949,22.1
중학교,신도봉중학교,서울특별시 도봉구 도봉로115길 16,37.6493421,127.0332208,22.1
중학교,수락중학교,서울특별시 노원구 동일로 1729,37.6829578,127.0545843,23.2
중학교,선덕중학교,서울특별시 도봉구 시루봉로 53,37.6553087,127.0267571,22.1
중학교,상원중학교,서울특별시 노원구 수락산로 182,37.6715562,127.0595783,23.2
중학교,상명중학교,서울특별시 노원구 덕릉로 553,37.6492454,127.0683088,23.2
중학교,상계중학교,서울특별시 노원구 노원로 398,37.6522158,127.0689719,23.2
중학교,상계제일중학교,서울특별시 노원구 덕릉로86길 29-15,37.6612359,127.077544,23.2
중학교,상경중학교,서울특별시 노원구 동일로227길 61,37.6666516,127.0535525,23.2
중학교,불암중학교,서울특별시 노원구 한글비석로5길 45,37.6456143,127.0737463,23.2
중학교,북서울중학교,서울특별시 도봉구 도봉로169가길 33,37.6812141,127.0429592,22.1
중학교,백운중학교,서울특별시 도봉구 도봉로129길 50,37.6560334,127.0359528,22.1
중학교,방학중학교,서울특별시 도봉구 시루봉로 188,37.665457,127.0317366,22.1
중학교,도봉중학교,서울특별시 도봉구 마들로 671,37.6704528,127.0456727,22.1
중학교,녹천중학교,서울특별시 노원구 월계로 376,37.631226,127.0623238,23.2
중학교,노일중학교,서울특별시 노원구 동일로231길 24,37.6729772,127.0538703,23.2
중학교,노원중학교,서울특별시 노원구 동일로213길 26,37.6490522,127.0598054,23.2
중학교,노곡중학교,서울특별시 도봉구 노해로70길 95,37.6482051,127.0533463,22.1
중학교,광운중학교,서울특별시 노원구 광운로1길 24,37.6204588,127.0560081,23.2
중학교,공릉중학교,서울특별시 노원구 노원로1길 42,37.6219769,127.0839048,23.2
중학교,신길중학교,서울특별시 영등포구 신길로28길 43,37.5019854,126.9156005,23.1
중학교,항동중학교,서울특별시 구로구 연동로 239-2,37.4828788,126.8212432,22.9
중학교,천왕중학교,서울특별시 구로구 천왕로 63,37.4825378,126.8376154,22.9
중학교,한울중학교,서울특별시 금천구 독산로50길 60,37.4622519,126.9067714,21.4
중학교,윤중중학교,서울특별시 영등포구 여의동로3길 3,37.5188204,126.9237854,23.1
